Code,Extraversion-Active,Extraversion-Energetic,Extraversion-Excitable,Extraversion-Hyperactive,Extraversion-Lively,Extraversion-Restless,Extraversion-Comments,Motivation-Assertive,Motivation-Determined,Motivation-Independent,Motivation-Persevering,Motivation-Tenacious,Motivation-Comments,Training-Attentive,Training-Biddable,Training-Intelligent,Training-Obedient,Training-Reliable,Training-Trainable,Training-Comments,Amicability-Easy-going,Amicability-Friendly,Amicability-Non-aggressive,Amicability-Relaxed,Amicability-Sociable,Amicability-Comments,Neuroticism-Fearful,Neuroticism-Nervous,Neuroticism-Submissive,Neuroticism-Timid,Neuroticism-Comments,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Duration,Outcome,Label
04-01-LD,5,5,5,5,5,5,,4,4,4,5,5,,3,4,5,4,3,4,,3,5,6,2,5,,2,2,2,1,,2019-04-24,Diva,Catherine,2018-02-11,F,IGDB,GD,2019-12-13,LRx,,233 days,Success,2.0
04-02-LE,4,3,5,3,4,3,,2,2,1,3,2,,5,5,4,6,4,4,,2,6,6,3,5,,4,4,3,4,,2019-04-24,Earl,Catherine,2018-03-12,M,IGDB,AD,2019-11-29,LRx,,219 days,Success,1.0
04-03-LD,4,4,4,3,3,3,,3,3,3,2,2,"More determined to get the food when distracted by food distractions, easier to get his attention from any other distraction in the street",3,3,4,4,3,4,,2,6,6,2,5,Kennel environment and busy environments tend to make him anxious (panting and lip smacking),3,4,4,4,Sensitive to noises and often on high alert  so reacts easily,2019-04-24,Douglas,Rose,2018-02-11,M,IGDB,W,2019-08-06,LRx,,104 days,Fail,0.0
04-04-LZ,3,3,3,3,3,4,,4,3,3,3,3,,4,3,4,2,3,4,,5,5,6,4,4,,1,1,1,2,,2019-04-24,Zodiac,Rose,2018-04-06,M,Private breeder,GD,2019-10-25,LR,,184 days,Success,2.0
04-05-LF,3,3,3,1,3,2,,3,3,3,3,2,,4,4,5,5,5,5,,4,6,1,4,4,,1,1,2,2,,2019-04-24,Fargo,Graham,2018-03-16,M,IGDB,GD,2019-11-25,LR,,215 days,Success,2.0
04-06-LF,5,5,6,6,5,6,,5,4,3,5,5,,5,5,6,6,5,5,,1,5,6,2,3,,1,2,2,1,,2019-04-24,Frida,Graham,2018-03-16,F,IGDB,W,2019-08-02,LR,,100 days,Fail,0.0
04-07-LE,3,3,3,1,3,2,,2,3,2,3,2,,5,5,5,5,4,4,,4,6,1,4,4,,1,1,2,2,,2019-04-24,Elf,Frances,2018-03-12,M,IGDB,GD,2019-11-25,LRx,,215 days,Success,2.0
04-08-LE,2,2,2,2,2,2,,2,3,2,2,2,,4,2,3,4,2,2,,2,4,6,2,5,,5,4,5,5,,2019-04-24,Emmy,Graham,2018-03-12,F,IGDB,W,2019-08-19,LRx,,117 days,Fail,0.0
04-11-LV,3,3,3,2,2,3,,2,3,2,3,2,,5,5,5,5,5,5,,3,3,3,3,3,Can be cautious of new people and has potential to bark if someone is too full on with him on greeting him for first time but once he knows you he is really friendly and sociable.,2,4,2,2,Nervous initially with new people greeting him full on.,2021-04-07,Vaughan,Rose,2019-06-11,M,IGDB,AD,2021-08-27,LR,,142 days,Success,1.0
04-12-LY,4,4,3,3,4,3,,3,4,4,4,3,,6,5,6,5,5,6,,6,6,6,6,6,,2,2,2,2,,2021-04-07,Yani,Rose,2019-09-25,F,IGDB,AD,2021-08-25,LRxGR,,140 days,Success,1.0
04-13-LY,4,4,3,2,4,2,"Willing, responsive dog who looks to please, walks out nicely as guide dog. Can be excitable for play with toys and dogs",3,3,3,4,3,,4,5,4,5,4,5,,4,5,6,4,5,,2,1,2,2,,2021-04-07,Yorkie,Rose,2019-09-26,M,IGDB,GD,2021-12-10,LRxGR,,247 days,Success,2.0
04-14-LV,3,3,4,3,4,3,Depends on context. Due to stress in kennels she becomes more excitable but in home and on general walks she is less so.,3,4,2,3,4,,5,5,6,5,5,6,,3,4,3,3,3,She can be cautious of strangers approaching her full on but in general she is really friendly. She becomes very attached to handler. ,3,4,3,3,,2021-04-07,Verona,Graham,2019-06-11,F,IGDB,AD,2021-08-27,LR,,142 days,Success,1.0
04-15-LV,4,4,5,4,4,5,,4,4,5,5,3,"Highly motivated but only in terms of self interest and to self serve, not inherently willing to please handler",2,2,5,2,2,2,,2,4,4,2,4,,4,4,2,4,Fearful reaction to veterinary personal or handling/physical check,2021-04-07,Vista,Graham,2019-06-11,F,IGDB,W,2021-04-30,LR,,23 days,Fail,0.0
04-16-LH,1,1,1,1,1,1,,2,2,2,1,1,Self interested with scenting only.,2,5,4,3,4,4,Slow to respond,6,6,6,5,5,,3,4,3,3,,2021-04-08,Harold,Rose,2020-01-10,M,PRV breeder,W,2021-06-14,LR,,67 days,Fail,0.0
05-01-LD,3,5,3,3,2,3,,4,4,3,4,3,,4,4,5,4,4,5,,4,5,6,5,5,,1,1,2,2,,2019-05-01,Dugg,Graham,2018-02-11,M,IGDB,AD,2019-10-25,LRxGR,,177 days,Success,1.0
05-02-LF,5,5,5,3,5,3,,4,4,4,4,4,,4,4,4,4,3,4,,2,6,1,3,4,,1,1,2,1,,2019-05-01,Flora,Graham,2018-03-16,F,IGDB,GD,2019-12-20,LR,,233 days,Success,2.0
05-03-LF,3,3,3,2,2,3,Restless when asked to sit in a busy environment as anxious in busy environment,3,4,3,2,2,,4,3,4,3,3,3,More focused in quiet areas as anxious in busier areas also anxiety increases with equipment which can cause her to loose focus,5,6,6,4,4,,5,6,3,4,,2019-05-01,Fawn,Catherine,2018-03-16,F,IGDB,GD,2019-11-25,LR,,208 days,Success,2.0
05-04-LZ,4,4,3,3,3,5,,3,4,4,4,3,,3,3,3,3,2,3,,3,4,6,5,4,,1,1,2,2,,2019-05-01,Zeb,Catherine,2018-04-06,M,Private breeder,W,2019-08-06,LR,,97 days,Fail,0.0
05-05-LE,4,4,3,2,3,2,,3,5,4,4,2,,5,5,6,5,5,6,,3,6,5,4,5,,2,2,4,3,,2019-05-01,Eldin,Rose,2018-03-12,M,IGDB,GD,2019-12-13,LRx,,226 days,Success,2.0
05-11-LE,5,5,5,5,5,5,,3,4,2,3,3,,3,3,3,4,3,5,,3,4,6,2,4,,2,2,2,3,,2019-05-15,Edrick,Rose,2018-03-12,M,IGDB,GD,2020-07-09,LRx,,421 days,Success,2.0
05-13-LE,4,4,4,4,4,2,,4,4,3,4,3,,5,4,5,5,4,6,,3,6,6,4,6,,1,1,2,1,,2019-05-15,Esme,Graham,2018-03-12,F,IGDB,GD,2019-12-13,LRx,,212 days,Success,2.0
